Date,axe,mois,jour_sem,semaine,nb_arrets_total,duree_totale_h,duree_max_h,taux_disponibilite,ratio_arret_anomalie,roll_3j_nb_arrets,roll_7j_nb_arrets,roll_3j_duree,roll_7j_duree,roll_7j_nb_anomalie,pente_arrets_3j,duree_depuis_last_arret,duree_depuis_last_anomalie,cumul_arrets_7j,heure_sin,heure_cos,mois_sin,mois_cos,est_weekend,axe_encoded,nb_arrets_anomalie,duree_anomalie_h,nb_epuisement,nb_rupture,nb_defaut_elec,nb_defaut_mec,gravite_max,nb_arrets_critiques,label
2025-01-01,1,1,2,1,4.0,5.333333333333336,3.166666666666666,0.7777777777777777,0.0,4.0,4.0,5.333333333333336,5.333333333333336,0.0,0.0,0.0,1.0,4.0,-0.7518398074789773,-0.6593458151000691,0.49999999999999994,0.8660254037844387,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-02,1,1,3,1,5.0,7.833333333333332,3.2500000000000018,0.6736111111111112,0.0,4.5,4.5,6.583333333333334,6.583333333333334,0.0,0.9999999999999991,0.0,2.0,9.0,0.26723837607825746,-0.9636304532086228,0.49999999999999994,0.8660254037844387,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-03,1,1,4,1,7.0,3.0833333333333344,0.5000000000000009,0.8715277777777777,0.0,5.333333333333333,5.333333333333333,5.416666666666668,5.416666666666668,0.0,1.5000000000000009,0.0,3.0,16.0,-0.7456421648831655,-0.666346577952004,0.49999999999999994,0.8660254037844387,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-04,1,1,5,1,5.0,5.666666666666666,3.4999999999999996,0.763888888888889,0.4,5.666666666666667,5.25,5.527777777777778,5.479166666666667,2.0,1.5391067151837284e-16,0.0,0.0,21.0,-0.9848077530122082,-0.17364817766692944,0.49999999999999994,0.8660254037844387,1,1,2.0,1.333333333333334,1.0,0.0,1.0,0.0,3.0,1.0,1
2025-01-05,1,1,6,1,5.0,25.000000000000004,23.750000000000004,0.0,0.6,5.666666666666667,5.2,11.25,9.383333333333335,5.0,-0.9999999999999988,0.0,0.0,26.0,0.8090169943749475,0.5877852522924731,0.49999999999999994,0.8660254037844387,1,1,3.0,24.41666666666667,1.0,0.0,2.0,0.0,3.0,1.0,1
2025-01-06,1,1,0,2,0.0,0.0,0.0,1.0,0.0,3.3333333333333335,4.333333333333333,10.222222222222223,7.8194444444444455,5.0,-2.4999999999999996,1.0,1.0,26.0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-07,1,1,1,2,5.0,7.416666666666671,5.0,0.6909722222222221,0.2,3.3333333333333335,4.428571428571429,10.805555555555557,7.761904761904764,6.0,1.0263109338918318e-15,0.0,0.0,31.0,-0.7743926440821854,-0.6327053285625162,0.49999999999999994,0.8660254037844387,0,1,1.0,0.2500000000000018,1.0,0.0,0.0,0.0,2.0,0.0,0
2025-01-08,1,1,2,2,6.0,15.000000000000004,10.916666666666671,0.3749999999999999,0.5,3.6666666666666665,4.714285714285714,7.472222222222225,9.142857142857144,9.0,3.0000000000000004,0.0,0.0,33.0,0.6427876096865391,-0.7660444431189782,0.49999999999999994,0.8660254037844387,0,1,3.0,13.166666666666671,3.0,0.0,0.0,0.0,2.0,2.0,1
2025-01-09,1,1,3,2,1.0,24.0,24.0,0.0,0.0,4.0,4.142857142857143,15.472222222222223,11.452380952380954,9.0,-2.0000000000000004,0.0,1.0,29.0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-01-10,1,1,4,2,3.0,16.000000000000004,12.333333333333336,0.33333333333333315,0.0,3.3333333333333335,3.5714285714285716,18.333333333333336,13.29761904761905,9.0,-1.4999999999999987,0.0,2.0,25.0,-0.555570233019602,-0.8314696123025455,0.49999999999999994,0.8660254037844387,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
