Date,axe,mois,jour_sem,semaine,nb_arrets_total,duree_totale_h,duree_max_h,taux_disponibilite,ratio_arret_anomalie,roll_3j_nb_arrets,roll_7j_nb_arrets,roll_3j_duree,roll_7j_duree,roll_7j_nb_anomalie,pente_arrets_3j,duree_depuis_last_arret,duree_depuis_last_anomalie,cumul_arrets_7j,heure_sin,heure_cos,mois_sin,mois_cos,est_weekend,axe_encoded,nb_arrets_anomalie,duree_anomalie_h,nb_epuisement,nb_rupture,nb_defaut_elec,nb_defaut_mec,gravite_max,nb_arrets_critiques,label
2025-01-04,1,1,5,1,5.0,5.666666666666666,3.4999999999999996,0.763888888888889,0.4,5.666666666666667,5.25,5.527777777777778,5.479166666666667,2.0,1.5391067151837284e-16,0.0,0.0,21.0,-0.9848077530122082,-0.17364817766692944,0.49999999999999994,0.8660254037844387,1,1,2.0,1.333333333333334,1.0,0.0,1.0,0.0,3.0,1.0,1
2025-01-05,1,1,6,1,5.0,25.000000000000004,23.750000000000004,0.0,0.6,5.666666666666667,5.2,11.25,9.383333333333335,5.0,-0.9999999999999988,0.0,0.0,26.0,0.8090169943749475,0.5877852522924731,0.49999999999999994,0.8660254037844387,1,1,3.0,24.41666666666667,1.0,0.0,2.0,0.0,3.0,1.0,1
2025-01-08,1,1,2,2,6.0,15.000000000000004,10.916666666666671,0.3749999999999999,0.5,3.6666666666666665,4.714285714285714,7.472222222222225,9.142857142857144,9.0,3.0000000000000004,0.0,0.0,33.0,0.6427876096865391,-0.7660444431189782,0.49999999999999994,0.8660254037844387,0,1,3.0,13.166666666666671,3.0,0.0,0.0,0.0,2.0,2.0,1
2025-01-12,1,1,6,2,9.0,11.083333333333329,7.749999999999999,0.5381944444444446,0.2222222222222222,5.0,3.857142857142857,12.527777777777779,12.000000000000002,6.0,3.0000000000000004,0.0,0.0,27.0,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,1,1,2.0,8.083333333333332,1.0,0.0,1.0,0.0,3.0,1.0,1
2025-01-14,1,1,1,3,8.0,16.583333333333332,8.500000000000002,0.3090277777777778,0.25,8.0,5.285714285714286,10.888888888888886,14.023809523809527,7.0,-0.4999999999999991,0.0,0.0,37.0,-0.7409511253549592,-0.6715589548470183,0.49999999999999994,0.8660254037844387,0,1,2.0,2.0833333333333313,1.0,0.0,0.0,1.0,4.0,1.0,1
2025-01-15,1,1,2,3,4.0,21.583333333333336,17.5,0.10069444444444431,0.5,6.333333333333333,5.0,14.388888888888891,14.964285714285714,6.0,-1.4999999999999991,0.0,0.0,35.0,0.30590302009655357,-0.9520626777139243,0.49999999999999994,0.8660254037844387,0,1,2.0,20.5,2.0,0.0,0.0,0.0,2.0,2.0,1
2025-01-16,1,1,3,3,6.0,4.7499999999999964,1.416666666666667,0.8020833333333335,0.3333333333333333,6.0,5.714285714285714,14.305555555555555,12.214285714285714,8.0,-0.9999999999999988,0.0,0.0,40.0,0.33517752215694163,-0.9421549918355965,0.49999999999999994,0.8660254037844387,0,1,2.0,2.2499999999999987,2.0,0.0,0.0,0.0,2.0,1.0,1
2025-01-17,1,1,4,3,9.0,15.583333333333336,11.0,0.3506944444444443,0.1111111111111111,6.333333333333333,6.571428571428571,13.972222222222223,12.154761904761903,9.0,2.500000000000001,0.0,0.0,46.0,0.11850024840238682,-0.9929540226659906,0.49999999999999994,0.8660254037844387,0,1,1.0,0.666666666666667,1.0,0.0,0.0,0.0,2.0,0.0,1
2025-01-18,1,1,5,3,3.0,21.16666666666667,10.583333333333332,0.11805555555555536,0.3333333333333333,6.0,6.571428571428571,13.833333333333336,13.678571428571429,10.0,-1.4999999999999991,0.0,0.0,46.0,-0.7613497448832309,-0.6483413961534764,0.49999999999999994,0.8660254037844387,1,1,1.0,9.66666666666667,1.0,0.0,0.0,0.0,2.0,1.0,1
2025-01-19,1,1,6,3,6.0,6.0,4.333333333333334,0.75,0.16666666666666666,6.0,6.142857142857143,14.250000000000005,12.952380952380953,9.0,-1.4999999999999996,0.0,0.0,43.0,-0.9973569167005722,0.07265797072261093,0.49999999999999994,0.8660254037844387,1,1,1.0,4.333333333333334,1.0,0.0,0.0,0.0,2.0,1.0,1
