nb_arrets_total,duree_totale_h,duree_max_h,taux_disponibilite,ratio_arret_anomalie,roll_3j_nb_arrets,roll_7j_nb_arrets,roll_3j_duree,roll_7j_duree,roll_7j_nb_anomalie,pente_arrets_3j,duree_depuis_last_arret,duree_depuis_last_anomalie,cumul_arrets_7j,heure_sin,heure_cos,mois_sin,mois_cos,est_weekend,axe_encoded,label
-0.016432384424712992,-0.04280012754633855,-0.05030685156613827,-0.05300480360438946,-0.14720351367157586,-0.00595384061976902,-0.0007586251099833375,-0.022015582308487724,6.883757208974672e-05,-0.028504273014886016,-0.0006702772431071261,-0.012498372733123578,-0.10619105592212799,-0.0007164016318892479,0.0005567268034878931,-0.012148661342190064,-0.00250088397087429,-0.0004423271784427277,0.0002209857149886738,0.0011086434486317466,0
-0.016432384424712992,-0.04280012754633855,-0.05030685156613827,-0.05300480360438946,-0.14720351367157586,-0.00595384061976902,-0.0007586251099833375,-0.022015582308487724,6.883757208974672e-05,-0.028504273014886016,-0.0006702772431071261,-0.012498372733123578,-0.10619105592212799,-0.0007164016318892479,0.0005567268034878931,-0.012148661342190064,-0.00250088397087429,-0.0004423271784427277,0.0002209857149886738,0.0011086434486317466,0
-0.016611993285440496,-0.04230026954997446,-0.05030077320118419,-0.0527356760735678,-0.145652636919288,-0.006185042744373285,-0.0006326667178601114,-0.022182799015924196,0.00014309132512057876,-0.02864435231815919,-0.0007849364890938768,-0.012457607892552802,-0.10545509114791385,-0.0007628303811135156,0.0005151025026194283,-0.012187939488712905,-0.002894068594524703,-0.00044475675603023254,-0.001639612206550755,0.0010220706056861411,0
-0.016075468384737474,-0.04386839195442264,-0.049793202762098365,-0.052449758243049954,-0.14490576355231582,-0.006328878081908207,-0.0030951607487316184,-0.021939302717315992,0.0005112469407301091,-0.02838415182658149,-0.000773889899978098,-0.012501294277173322,-0.10409777596058829,-0.0005914240272922123,0.00044026494733485764,-0.012280575142694164,-0.0029688692221322504,-0.0004943220359482868,-0.0016377095234648934,0.0010416381235300398,0
-0.015741891107182136,-0.042657096534967756,-0.04970529417764626,-0.053120795871970335,-0.14261683683324775,-0.006300564845264805,-0.003140215161749986,-0.02150817936552492,-0.009472114088551179,-0.027983376071869,-0.0005054863421651287,-0.012479085722568008,-0.10181910791862715,9.088460758631335e-05,0.0005243841766594512,-0.012235495526294032,-0.002253693588257632,-0.0004960497515904041,0.00021457261872137581,0.0010126531556713403,0
-0.015741891107182136,-0.042657096534967756,-0.04970529417764626,-0.053120795871970335,-0.14261683683324775,-0.006300564845264805,-0.003140215161749986,-0.02150817936552492,-0.009472114088551179,-0.027983376071869,-0.0005054863421651287,-0.012479085722568008,-0.10181910791862715,9.088460758631335e-05,0.0005243841766594512,-0.012235495526294032,-0.002253693588257632,-0.0004960497515904041,0.00021457261872137581,0.0010126531556713403,0
-0.015741891107182136,-0.042657096534967756,-0.04970529417764626,-0.053120795871970335,-0.14261683683324775,-0.006300564845264805,-0.003140215161749986,-0.02150817936552492,-0.009472114088551179,-0.027983376071869,-0.0005054863421651287,-0.012479085722568008,-0.10181910791862715,9.088460758631335e-05,0.0005243841766594512,-0.012235495526294032,-0.002253693588257632,-0.0004960497515904041,0.00021457261872137581,0.0010126531556713403,0
-0.015741891107182136,-0.042657096534967756,-0.04970529417764626,-0.053120795871970335,-0.14261683683324775,-0.006300564845264805,-0.003140215161749986,-0.02150817936552492,-0.009472114088551179,-0.027983376071869,-0.0005054863421651287,-0.012479085722568008,-0.10181910791862715,9.088460758631335e-05,0.0005243841766594512,-0.012235495526294032,-0.002253693588257632,-0.0004960497515904041,0.00021457261872137581,0.0010126531556713403,0
-0.015741891107182136,-0.042657096534967756,-0.04970529417764626,-0.053120795871970335,-0.14261683683324775,-0.006300564845264805,-0.003140215161749986,-0.02150817936552492,-0.009472114088551179,-0.027983376071869,-0.0005054863421651287,-0.012479085722568008,-0.10181910791862715,9.088460758631335e-05,0.0005243841766594512,-0.012235495526294032,-0.002253693588257632,-0.0004960497515904041,0.00021457261872137581,0.0010126531556713403,0
-0.01591527411033543,-0.04219707594559441,-0.04969853196785043,-0.05288600145111181,-0.14106499840741293,-0.006526382651266052,-0.0030076185469725884,-0.021645608156836988,-0.00936248453439111,-0.028127707318201682,-0.0005944195987694975,-0.012438320881997231,-0.10115780136316299,4.113070545297152e-05,0.00048353992452408067,-0.01227483332495629,-0.002639077538493036,-0.0004981925807813008,-0.0016092255591137238,0.0009260949584322609,0
-0.01591527411033543,-0.04219707594559441,-0.04969853196785043,-0.05288600145111181,-0.14106499840741293,-0.006526382651266052,-0.0030076185469725884,-0.021645608156836988,-0.00936248453439111,-0.028127707318201682,-0.0005944195987694975,-0.012438320881997231,-0.10115780136316299,4.113070545297152e-05,0.00048353992452408067,-0.01227483332495629,-0.002639077538493036,-0.0004981925807813008,-0.0016092255591137238,0.0009260949584322609,0
-0.015741891107182136,-0.042657096534967756,-0.04970529417764626,-0.053120795871970335,-0.14261683683324775,-0.006300564845264805,-0.003140215161749986,-0.02150817936552492,-0.009472114088551179,-0.027983376071869,-0.0005054863421651287,-0.012479085722568008,-0.10181910791862715,9.088460758631335e-05,0.0005243841766594512,-0.012235495526294032,-0.002253693588257632,-0.0004960497515904041,0.00021457261872137581,0.0010126531556713403,0
-0.015741891107182136,-0.042657096534967756,-0.04970529417764626,-0.053120795871970335,-0.14261683683324775,-0.006300564845264805,-0.003140215161749986,-0.02150817936552492,-0.009472114088551179,-0.027983376071869,-0.0005054863421651287,-0.012479085722568008,-0.10181910791862715,9.088460758631335e-05,0.0005243841766594512,-0.012235495526294032,-0.002253693588257632,-0.0004960497515904041,0.00021457261872137581,0.0010126531556713403,0
-0.015741891107182136,-0.042657096534967756,-0.04970529417764626,-0.053120795871970335,-0.14261683683324775,-0.006300564845264805,-0.003140215161749986,-0.02150817936552492,-0.009472114088551179,-0.027983376071869,-0.0005054863421651287,-0.012479085722568008,-0.10181910791862715,9.088460758631335e-05,0.0005243841766594512,-0.012235495526294032,-0.002253693588257632,-0.0004960497515904041,0.00021457261872137581,0.0010126531556713403,0
-0.015741891107182136,-0.042657096534967756,-0.04970529417764626,-0.053120795871970335,-0.14261683683324775,-0.006300564845264805,-0.003140215161749986,-0.02150817936552492,-0.009472114088551179,-0.027983376071869,-0.0005054863421651287,-0.012479085722568008,-0.10181910791862715,9.088460758631335e-05,0.0005243841766594512,-0.012235495526294032,-0.002253693588257632,-0.0004960497515904041,0.00021457261872137581,0.0010126531556713403,0
-0.009850252259608576,-0.025300506841410893,-7.178901405792248e-05,-0.0347686576034229,-0.20033372817089157,-0.0077317493707834434,-0.004545333439153588,-0.024632719510007638,-0.010991497944247688,-0.03795096207501511,0.0007364404809956684,0.0025386957158231587,-0.13298189674705957,0.0016428698211712065,-0.0006271409125612375,-0.008641004941007299,-0.0036884987200890645,0.0007019337639285844,0.0002623769493755191,0.001040632469184016,0
